source,source_entry,date_day,date_month,date_year,actor_id,actor_first_name,actor_surname,wikidata_name,place_of_birth,position_held,occupation,sex_or_gender,country_of_citizenship,wikidata_uri,role,role_en,role_en_reconciled,status,status_en,phase
BRGA818,00001599A,,,1599,5912,Bartholomeus,Van der Meren,"Bartholomeus, Van der Meren",,,,,,,member,member,member,dean,dean,start
BRGA818,00001599A,,,1599,5913,Jan,Van Ponberghe,"Jan, Van Ponberghe",,,,,,,member,member,member,dean,dean,start
BRGA818,00001599A,,,1599,6930,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,00001599B,,,1599,5917,Antoon,Van Schelle,"Antoon, Van Schelle",,,,,,,member,member,member,master,master,start
BRGA818,00001599C,,,1599,5936,Abraham,Gyoryns,"Abraham, Gyoryns",,,,,,,member,member,member,meesterszoon,master's son,start
BRGA818,00001599C,,,1599,5937,Jan,Gyoryns,"Jan, Gyoryns",,,,,,,member,member,member,master,master,
BRGA818,00001599D,,,1599,5938,Nicolaes,Van Zeunen,"Nicolaes, Van Zeunen",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001599D,,,1599,5940,Fernand,Bert,"Fernand, Bert",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001599E,,,1599,5943,Francois,De Sainctsaule,"Francois, De Sainctsaule",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001599E,,,1599,5945,Denys,Van Alsloot,Denis van Alsloot,Mechelen,,painter,male,Southern Netherlands,https://www.wikidata.org/wiki/Q904000,member,member,painter,leermeester,mentor,start
BRGA818,00001599F,,,1599,5947,Philips,Britseels,"Philips, Britseels",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001599F,,,1599,5948,Francois,De Godts,"Francois, De Godts",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001600A,,,1600,6955,Nicolaes,Van Rillaert,"Nicolaes, Van Rillaert",,,,,,,member,member,member,dean,dean,start
BRGA818,00001600A,,,1600,5962,Carel,Lambrechts,"Carel, Lambrechts",,,,,,,member,member,member,dean,dean,start
BRGA818,00001600A,,,1600,6085,Hieronymus,Van Orley,Hieronymus van Orley,Brussels-Capital Region,,painter,male,County of Flanders,https://www.wikidata.org/wiki/Q27995639,member,member,painter,dean,dean,start
,,,,,,,,,City of Brussels,,,,,,,,member,,,
BRGA818,00001600B,,,1600,5983,Philips,Matthys,"Philips, Matthys",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001600B,,,1600,5985,Jacques,De Vries,Jacques de Champ-Repus,,,poet,male,Kingdom of France,https://www.wikidata.org/wiki/Q117352511,member,member,member,leermeester,mentor,start
,,,,,,,,,,,tragedy writer,,,,,,member,,,
BRGA818,00001600C,,,1600,5988,Christoffel,Regybus,"Christoffel, Regybus",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001600C,,,1600,5912,Bartholomeus,Van der Meren,"Bartholomeus, Van der Meren",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001600D,,,1600,5990,Willem,Van Gent,Willem van Gent,,,,male,,https://www.wikidata.org/wiki/Q110506552,member,member,member,apprentice,apprentice,start
BRGA818,00001600D,,,1600,5962,Carel,Lambrechts,"Carel, Lambrechts",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001600E,,,1600,5993,Francois,De Streu,"Francois, De Streu",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001600E,,,1600,5995,Peter,Noveliers,Peter Noveliers,,court painter,painter,male,Southern Netherlands,https://www.wikidata.org/wiki/Q130396271,member,member,painter,leermeester,mentor,start
,,,,,,,,,,,curator,,,,,,member,,,
BRGA818,00001600F,,,1600,6854,Daniel,Ficquaert,"Daniel, Ficquaert",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001600F,,,1600,6261,Jan,Gotemans,"Jan, Gotemans",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001600G,,,1600,6304,Joris,Storm,"Joris, Storm",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001600G,,,1600,5962,Carel,Lambrechts,"Carel, Lambrechts",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,1601,,,1601,6955,Nicolaes,Van Rillaert,"Nicolaes, Van Rillaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1601,,,1601,5962,Carel,Lambrechts,"Carel, Lambrechts",,,,,,,member,member,member,dean,dean,start
BRGA818,1601,,,1601,6085,Hieronymus,Van Orley,Hieronymus van Orley,Brussels-Capital Region,,painter,male,County of Flanders,https://www.wikidata.org/wiki/Q27995639,member,member,painter,dean,dean,start
,,,,,,,,,City of Brussels,,,,,,,,member,,,
BRGA818,00001602A,,,1602,6039,Jacques,De Fayter,"Jacques, De Fayter",,,,,,,member,member,member,dean,dean,start
BRGA818,00001602A,,,1602,6023,Lenard,Wauwermans,"Lenard, Wauwermans",,,,,,,member,member,member,dean,dean,start
BRGA818,00001602A,,,1602,3002,Jan,Van Bronckhorst,Jan van Bronckhorst,Amsterdam,,painter,male,,https://www.wikidata.org/wiki/Q108661825,member,member,painter,dean,dean,start
BRGA818,00001602B,,,1602,6080,Antoon,Waelrant,"Antoon, Waelrant",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001602B,,,1602,6081,Gilbert,Van Weenen,"Gilbert, Van Weenen",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001603A,,,1603,5933,Nicolaes,Mertens,"Nicolaes, Mertens",,,,,,,member,member,member,dean,dean,start
BRGA818,00001603A,,,1603,5929,Philips,Van Bentem,"Philips, Van Bentem",,,,,,,member,member,member,dean,dean,start
BRGA818,00001603A,,,1603,6255,Cornelis,De Bloyer,"Cornelis, De Bloyer",,,,,,,member,member,member,dean,dean,start
BRGA818,00001603B,,,1603,6104,Jan Baptist,Grondone,"Jan Baptist, Grondone",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001603B,,,1603,6106,Gillis,Claessens,Gillis Claes,,,,male,Netherlands,https://www.wikidata.org/wiki/Q114593974,member,member,member,leermeester,mentor,start
BRGA818,00001603C,,,1603,6116,Hans,Clunebris,"Hans, Clunebris",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001603C,,,1603,5912,Bartholomeus,Van der Meren,"Bartholomeus, Van der Meren",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001604A,,,1604,6112,Aert,Bleter,"Aert, Bleter",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001604A,,,1604,6045,Adriaen,Van Zinnick,"Adriaen, Van Zinnick",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001604B,,,1604,6121,Adriaen,Berckay,"Adriaen, Berckay",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001604B,,,1604,6023,Lenard,Wauwermans,"Lenard, Wauwermans",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001604C,,,1604,2809,Peter,Van der Borcht,Pieter van der Borcht (III),City of Brussels,,painter,male,Southern Netherlands,https://www.wikidata.org/wiki/Q768316,member,member,painter,apprentice,apprentice,start
BRGA818,00001604C,,,1604,5945,Denys,Van Alsloot,Denis van Alsloot,Mechelen,,painter,male,Southern Netherlands,https://www.wikidata.org/wiki/Q904000,member,member,painter,leermeester,mentor,start
BRGA818,00001604D,,,1604,5933,Nicolaes,Mertens,"Nicolaes, Mertens",,,,,,,member,member,member,dean,dean,start
BRGA818,00001604D,,,1604,6255,Cornelis,De Bloyer,"Cornelis, De Bloyer",,,,,,,member,member,member,dean,dean,start
BRGA818,00001604D,,,1604,5929,Philips,Van Bentem,"Philips, Van Bentem",,,,,,,member,member,member,dean,dean,start
BRGA818,00001604E,,,1604,6163,Antoon,Sammori,"Antoon, Sammori",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001604E,,,1604,6106,Gillis,Claessens,Gillis Claes,,,,male,Netherlands,https://www.wikidata.org/wiki/Q114593974,member,member,member,leermeester,mentor,start
BRGA818,1605,,,1605,6065,Francois,Tons,"Francois, Tons",,,,,,,member,member,member,dean,dean,start
BRGA818,1605,,,1605,6036,Willem,Van Worms,"Willem, Van Worms",,,,,,,member,member,member,dean,dean,start
BRGA818,1605,,,1605,6842,Jan,De Kemp,"Jan, De Kemp",,,,,,,member,member,member,dean,dean,start
BRGA818,1606,,,1606,6039,Jacques,De Fayter,"Jacques, De Fayter",,,,,,,member,member,member,dean,dean,start
BRGA818,1606,,,1606,6955,Nicolaes,Van Rillaert,"Nicolaes, Van Rillaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1606,,,1606,6045,Adriaen,Van Zinnick,"Adriaen, Van Zinnick",,,,,,,member,member,member,dean,dean,start
BRGA818,1607,,,1607,6255,Cornelis,De Bloyer,"Cornelis, De Bloyer",,,,,,,member,member,member,dean,dean,start
BRGA818,1607,,,1607,6039,Jacques,De Fayter,"Jacques, De Fayter",,,,,,,member,member,member,dean,dean,start
BRGA818,1607,,,1607,6132,Jan,Mattheus,"Jan, Mattheus",,,,,,,member,member,member,dean,dean,start
BRGA818,1608,,,1608,6367,Jan,Van Botbergh,"Jan, Van Botbergh",,,,,,,member,member,member,dean,dean,start
BRGA818,1608,,,1608,6930,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,1608,,,1608,6629,Jan,Trippaert,"Jan, Trippaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1609,,,1609,6039,Jacques,De Fayter,"Jacques, De Fayter",,,,,,,member,member,member,dean,dean,start
BRGA818,1609,,,1609,6261,Jan,Gotemans,"Jan, Gotemans",,,,,,,member,member,member,dean,dean,start
BRGA818,1609,,,1609,6053,Wouter,Jacobs,Jacob Wauters,,,court artist,male,,,member,member,member,dean,dean,start
,,,,,,,,,,,artist,,,,,,member,,,
,,,,,,,,,,,tapestry weaver,,,,,,member,,,
BRGA818,00001610A,,,1610,6036,Willem,Van Worms,"Willem, Van Worms",,,,,,,member,member,member,dean,dean,start
BRGA818,00001610A,,,1610,5925,Antoon,Van der Meren,"Antoon, Van der Meren",,,,,,,member,member,member,dean,dean,start
BRGA818,00001610A,,,1610,5979,Hans,Mennens,"Hans, Mennens",,,,,,,member,member,member,dean,dean,start
BRGA818,00001610B,,,1610,6754,Carel,Herssel,"Carel, Herssel",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001610B,,,1610,2821,David,Noveliers,"David, Noveliers",,,,,,,member,member,member,leermeester,mentor,start
BRGA818,00001611A,,,1611,6129,Willem,De Moy,"Willem, De Moy",,,,,,,member,member,member,apprentice,apprentice,start
BRGA818,00001611A,,,1611,5945,Denys,Van Alsloot,Denis van Alsloot,Mechelen,,painter,male,Southern Netherlands,https://www.wikidata.org/wiki/Q904000,member,member,painter,leermeester,mentor,start
BRGA818,00001611B,,,1611,5933,Nicolaes,Mertens,"Nicolaes, Mertens",,,,,,,member,member,member,dean,dean,start
BRGA818,00001611B,,,1611,6367,Jan,Van Botbergh,"Jan, Van Botbergh",,,,,,,member,member,member,dean,dean,start
BRGA818,00001611B,,,1611,6776,Francois,Van Schuddeput,"Francois, Van Schuddeput",,,,,,,member,member,member,dean,dean,start
BRGA818,1612,,,1612,6132,Jan,Mattheus,"Jan, Mattheus",,,,,,,member,member,member,dean,dean,start
BRGA818,1612,,,1612,6842,Jan,De Kemp,"Jan, De Kemp",,,,,,,member,member,member,dean,dean,start
BRGA818,1612,,,1612,6432,Augustyn,Van der Venne,"Augustyn, Van der Venne",,,,,,,member,member,member,dean,dean,start
BRGA818,1613,,,1613,6255,Cornelis,De Bloyer,"Cornelis, De Bloyer",,,,,,,member,member,member,dean,dean,start
BRGA818,1613,,,1613,6261,Jan,Gotemans,"Jan, Gotemans",,,,,,,member,member,member,dean,dean,start
BRGA818,1613,,,1613,6930,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,1614,,,1614,5933,Nicolaes,Mertens,"Nicolaes, Mertens",,,,,,,member,member,member,dean,dean,start
BRGA818,1614,,,1614,713,Gaspar,De Craeyer,Gaspar de Crayer,Antwerp,court painter,painter,male,Habsburg Netherlands,https://www.wikidata.org/wiki/Q570172,member,member,painter,dean,dean,start
BRGA818,1614,,,1614,6472,Jacques,Regaets,"Jacques, Regaets",,,,,,,member,member,member,dean,dean,start
BRGA818,1615,,,1615,5933,Nicolaes,Mertens,"Nicolaes, Mertens",,,,,,,member,member,member,dean,dean,start
BRGA818,1615,,,1615,6036,Willem,Van Worms,"Willem, Van Worms",,,,,,,member,member,member,dean,dean,start
BRGA818,1615,,,1615,713,Gaspar,De Craeyer,Gaspar de Crayer,Antwerp,court painter,painter,male,Habsburg Netherlands,https://www.wikidata.org/wiki/Q570172,member,member,painter,dean,dean,start
BRGA818,1616,,,1616,6045,Adriaen,Van Zinnick,"Adriaen, Van Zinnick",,,,,,,member,member,member,dean,dean,start
BRGA818,1616,,,1616,6629,Jan,Trippaert,"Jan, Trippaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1616,,,1616,2961,Jan,Bauwens,Jan Bauwens,,,journalist,male,Belgium,https://www.wikidata.org/wiki/Q3505653,member,member,member,dean,dean,start
BRGA818,1617,,,1617,6930,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,1617,,,1617,6132,Jan,Mattheus,"Jan, Mattheus",,,,,,,member,member,member,dean,dean,start
BRGA818,1617,,,1617,6418,Maerten,Heunis,"Maerten, Heunis",,,,,,,member,member,member,dean,dean,start
BRGA818,1618,,,1618,6053,Wouter,Jacobs,Jacob Wauters,,,court artist,male,,,member,member,member,dean,dean,start
,,,,,,,,,,,artist,,,,,,member,,,
,,,,,,,,,,,tapestry weaver,,,,,,member,,,
BRGA818,1618,,,1618,5925,Antoon,Van der Meren,"Antoon, Van der Meren",,,,,,,member,member,member,dean,dean,start
BRGA818,1618,,,1618,6059,Michiel,De Bordeaux,"Michiel, De Bordeaux",,,,,,,member,member,member,dean,dean,start
BRGA818,1619,,,1619,5933,Nicolaes,Mertens,"Nicolaes, Mertens",,,,,,,member,member,member,dean,dean,start
BRGA818,1619,,,1619,6432,Augustyn,Van der Venne,"Augustyn, Van der Venne",,,,,,,member,member,member,dean,dean,start
BRGA818,1619,,,1619,472,Gillis,Leyniers,"Gillis, Leyniers",,,,,,,member,member,member,dean,dean,start
BRGA818,1620,,,1620,6629,Jan,Trippaert,"Jan, Trippaert",,,,,,,member,member,member,dean,dean,start
BRGA818,1620,,,1620,2961,Jan,Bauwens,Jan Bauwens,,,journalist,male,Belgium,https://www.wikidata.org/wiki/Q3505653,member,member,member,dean,dean,start
BRGA818,1620,,,1620,2838,Gerard,Van Hoochstadt,"Gerard, Van Hoochstadt",,,,,,,member,member,member,dean,dean,start
BRGA818,1621,,,1621,6930,Carel,Van den Steen,"Carel, Van den Steen",,,,,,,member,member,member,dean,dean,start
BRGA818,1621,,,1621,6132,Jan,Mattheus,"Jan, Mattheus",,,,,,,member,member,member,dean,dean,start
BRGA818,1621,,,1621,6582,Willem,Maheu,"Willem, Maheu",,,,,,,member,member,member,dean,dean,start
BRGA818,1623,,,1623,6418,Maerten,Heunis,"Maerten, Heunis",,,,,,,member,member,member,dean,dean,start
